bpm_value,rms_mean,rms_std,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,centroid_mean,centroid_std,bandwidth_mean,bandwidth_std,tonnetz_mean_1,tonnetz_mean_2,tonnetz_mean_3,tonnetz_mean_4,tonnetz_mean_5,tonnetz_mean_6,tonnetz_std_1,tonnetz_std_2,tonnetz_std_3,tonnetz_std_4,tonnetz_std_5,tonnetz_std_6,zcr_mean,zcr_std
0.825497167,0.187511101,0.191474618,0.096328451,0.88420251,0.136112717,0.855241675,0.153054912,0.838710017,0.153890584,0.827049704,0.164537113,0.834198625,0.177641825,0.83573136,0.874183242,0.877638623,0.889491509,0.824157025,0.790125547,0.800887096,0.764546932,0.782143066,0.841247747,0.808021857,0.801783067,0.841344416,0.122076306,0.101551801,0.148316491,0.409432064,0.223390546,0.242920854,0.205215464,0.236226856,0.186096044,0.276295062,0.267391272,0.238235983,0.264691704,0.27017867,0.267634874,0.179613875,0.289899267,0.352653568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.474190516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
