bpm_value,rms_mean,rms_std,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,centroid_mean,centroid_std,bandwidth_mean,bandwidth_std,tonnetz_mean_1,tonnetz_mean_2,tonnetz_mean_3,tonnetz_mean_4,tonnetz_mean_5,tonnetz_mean_6,tonnetz_std_1,tonnetz_std_2,tonnetz_std_3,tonnetz_std_4,tonnetz_std_5,tonnetz_std_6,zcr_mean,zcr_std
0.947453704,0.233720633,0.236953653,0.768471663,0.328222292,0.702436908,0.316024275,0.792300763,0.285192016,0.775104002,0.252579737,0.765872491,0.312124205,0.750929152,0.513108151,0.802062891,0.791644244,0.752602518,0.68425502,0.422779336,0.521213664,0.413282399,0.388263828,0.624101236,0.508306383,0.437328007,0.580936487,0.692034178,0.512150541,0.732288547,0.716301329,0.219013237,0.275453678,0.252920876,0.287197583,0.222714262,0.328833515,0.287394249,0.252001436,0.281815414,0.277313453,0.307048432,0.198717371,0.333374012,0.426169695
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.478000255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
