MAESTRO,MAESTRO,REPR
100,40,60,10,30,70,50,90,80,20
90,30,10,20,60,100,50,40,80,70
90,20,50,40,10,80,60,100,30,60
90,50,80,70,10,30,40,100,60,20
80,50,30,10,20,40,100,60,70,90
100,60,90,10,20,30,80,70,40,50
40,90,30,10,50,60,80,100,70,20
100,50,90,70,10,40,30,80,20,60
90,100,70,50,60,30,20,10,80,40
90,50,80,70,10,30,40,100,60,20
90,40,50,80,70,10,30,20,60,100
90,100,30,10,20,60,80,70,50,40
20,90,70,10,80,40,100,30,50,60
100,60,80,70,40,20,50,90,10,30
60,90,30,50,70,10,80,50,40,20
100,80,40,50,60,30,90,70,20,10
MAESTRO,MAESTRO,SPEC
100,40,60,10,30,70,50,90,80,20
90,30,10,20,60,100,50,40,80,70
90,20,50,40,10,80,60,100,30,60
90,50,80,70,10,30,40,100,60,20
80,50,30,10,20,40,100,60,70,90
100,60,90,10,20,30,80,70,40,50
40,90,30,10,50,60,80,100,70,20
100,50,90,70,10,40,30,80,20,60
90,100,70,50,60,30,20,10,80,40
90,50,80,70,10,30,40,100,60,20
90,40,50,80,70,10,30,20,60,100
90,100,30,10,20,60,80,70,50,40
20,90,70,10,80,40,100,30,50,60
100,60,80,70,40,20,50,90,10,30
60,90,30,50,70,10,80,50,40,20
100,80,40,50,60,30,90,70,20,10
MAESTRO,MAESTRO,FEAT
100,40,60,10,30,70,50,90,80,20
90,30,10,20,60,100,50,40,80,70
90,20,50,40,10,80,60,100,30,60
90,50,80,70,10,30,40,100,60,20
80,50,30,10,20,40,100,60,70,90
100,60,90,10,20,30,80,70,40,50
40,90,30,10,50,60,80,100,70,20
100,50,90,70,10,40,30,80,20,60
90,100,70,50,60,30,20,10,80,40
90,50,80,70,10,30,40,100,60,20
90,40,50,80,70,10,30,20,60,100
90,100,30,10,20,60,80,70,50,40
20,90,70,10,80,40,100,30,50,60
100,60,80,70,40,20,50,90,10,30
60,90,30,50,70,10,80,50,40,20
100,80,40,50,60,30,90,70,20,10
MAESTRO,MTG-Jamendo,REPR
100,40,90,50,80,10,20,30,70,60
90,40,100,70,50,10,60,30,80,20
80,20,100,30,40,10,90,50,70,60
80,40,100,50,60,30,10,20,90,70
30,100,10,50,20,60,40,70,80,90
70,50,80,40,60,10,20,30,100,90
70,40,60,50,80,20,10,30,100,90
